CPKB ID,SMILES,Anti-Microbial,Anti-Bacterial,Anti-Gram+,Anti-Gram-,Anti-Fungal,Anti-Biotics,Toxin,Anti-Cancer,Anti-Viral,Cytotoxic,Insecticide,Hemolytic,Anti-Nematodal,Hormonal regulation
CP00002,CCC(C)C1NC(=O)CNC(=O)C2Cc3c([nH]c4cc(O)ccc34)S(=O)CC(NC(=O)CNC1=O)C(=O)NC(CC(N)=O)C(=O)N1CC(O)CC1C(=O)NC(C(C)C(O)CO)C(=O)N2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CP00003,CCC(C)C1NC(=O)CNC(=O)C2Cc3c([nH]c4cc(O)ccc34)S(=O)CC(NC(=O)CNC1=O)C(=O)NC(CC(=O)O)C(=O)N1CC(O)CC1C(=O)NC(C(C)C(O)CO)C(=O)N2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CP00007,CC=CCC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CP00008,CC=C1NC(=O)C2CSSCCC=CC(CC(=O)NC(C(C)C)C(=O)N2)OC(=O)C(C(C)C)NC1=O,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CP00014,CC1OC(=O)C(C(C)C)NC(=O)C(C(C)C)OC(=O)C(C(C)C)NC(=O)C(C)OC(=O)C(C(C)C)NC(=O)C(C(C)C)OC(=O)C(C(C)C)NC(=O)C(C)OC(=O)C(C(C)C)NC(=O)C(C(C)C)OC(=O)C(C(C)C)NC1=O,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CP00015,O=C1CNC(=O)CN1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CP00018,CCC(C)C1NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(N)CSSCC(C(=O)N2CCCC2C(=O)NC(CC(C)C)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(C(C)O)NC1=O,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CP00019,CC(=O)O.NC(=O)CCC1NC(=O)C(Cc2ccccc2)NC(=O)C(Cc2ccc(O)cc2)NC(=O)CCSSCC(C(=O)N2CCCC2C(=O)NC(CCCN=C(N)N)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC1=O,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CP00023,CCC(C)C(N)C1=NC(C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(C(=O)NC2CCCCNC(=O)C(CC(N)=O)NC(=O)C(CC(=O)O)NC(=O)C(Cc3cnc[nH]3)NC(=O)C(Cc3ccccc3)NC(=O)C(C(C)CC)NC(=O)C(CCCN)NC2=O)C(C)CC)CS1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CP00026,CC(C)C1NC(=O)C(CCCCN)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(NC(=O)C(N)Cc2ccccc2)CSSCC(C(=O)NC(Cc2c[nH]c3ccccc23)C(N)=O)NC1=O,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CP00027,CC(C)C1NC(=O)C(CCCCN)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(NC(=O)C(N)Cc2ccc3ccccc3c2)CSSCC(C(=O)NC(C(N)=O)C(C)O)NC1=O,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CP00028,CCCCCCCCOc1ccc(C(=O)NC2C[C@@H](O)[C@@H](O)NC(=O)C3[C@@H](O)[C@@H](C)CN3C(=O)C(C(C)O)NC(=O)C([C@H](O)[C@@H](O)c3ccc(O)cc3)NC(=O)C3C[C@@H](O)CN3C(=O)C(C(C)O)NC2=O)cc1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CP00030,C[C@@H](O)[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)[C@@H](Cc2ccccc2)NC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)O)CC(=O)O)CC(=O)O)CSSC[C@@H](C(=O)N[C@H](CO)[C@@H](C)O)NC1=O,0,0,0,0,0,0,0,0,0,0,0,0,0,1
CP00031,CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@@H](O)CC(N)=O)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@H](C)O)NC1=O,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CP00035,CCC(C)CC(C)CCCCCCCCC(=O)NC1C[C@H](O)[C@@H](O)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@H](O)CC(N)=O)NC(=O)[C@H](C(O)[C@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CP00036,CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)[C@@H](O)CN2C(=O)[C@H]([C@H](O)CC(N)=O)NC(=O)[C@H](C(O)[C@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CP00037,CCC(C)CCCCC(=O)N[C@@H](CCN)C(=O)N[C@H](C(=O)N[C@@H](CCN)C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CCN)NC1=O)[C@@H](C)O.O=S(=O)(O)O,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CP00038,CC(C)C[C@@H]1NC(=O)[C@H](CCCN)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCN)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](Cc2ccccc2)NC1=O,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CP00039,CCCCCCCCC[C@@H]1CC(=O)NCC(=O)N[C@@H](C(C)C)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@@H](C(C)C)C(=O)O1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CP00048,CC(C)C1OC(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)OC(=O)C(Cc2ccccc2)N(C)C(=O)C(C(C)C)OC(=O)C(Cc2ccccc2)N(C)C1=O,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CP00051,CCC(C)C1NC(=O)C2CCCN2C(=O)C(CC2CO2)OC(=O)CCNC(=O)C(C)N(C)C(=O)C(C(C)C)N(C)C1=O,1,0,0,0,0,0,1,0,0,0,0,0,0,0
CP00052,C[C@@H]1NC(=O)[C@H]2CCCN2C(=O)[C@H](CCCCCC(=O)[C@@H]2CO2)NC(=O)[C@@H](C)NC1=O,0,0,0,0,0,0,1,1,0,0,0,0,0,0
